resightID,animalID,season,date,area,regionID,markobs,markobspos,markadded,markaddedpos,obssex,obsage,pctmolt,comment,markcomment,dead,observer,entrydate,entry,estimated,shark,unsure ,cookiecutter
734,11809,2004,1/31/04,TSC,2,,,,,,,,with 5d old pup; L hind flipper badly injured (shark?),NA,1,"P. Morris, R. Condit",1/31/04,"P. Morris, R. Condit",0,Comment Includes 'Shark',1,0
22177,14243,2006,5/9/05,BMNN,2,,,,,F,ad,100,Large healed scar from shark bite on right lower flank,NA,1,S. Simmons,5/19/05,S. Simmons,0,Comment Includes 'Shark',0,0
22550,4357,1988,1/15/88,17,4,,,,,,,,fresh shark bites on right side,NA,1,Clinton,10/15/05,R. Condit,0,Comment Includes 'Shark',0,0
22903,4357,1988,1/14/88,17,4,NA,NA,NA,NA,NA,NA,NA,fresh shark bites; also cuts in mouth,NA,0,Clinton,10/30/05,R. Condit,0,Comment Includes 'Shark',0,0
29999,14432,2002,2/4/02,BBN,2,,,,,F,ad,,fresh shark bite- one 2 inch deep tooth hole,NA,0,,2/14/06,R. Condit,0,Comment Includes 'Shark',0,0
62647,4716,1982,3/2/82,unknown,18,NA,NA,NA,NA,NA,NA,NA,shark attack,NA,0,unknown,11/10/06,R. Condit,0,Comment Includes 'Shark',0,0
67757,4116,1977,2/24/77,8B,4,NA,NA,NA,NA,M,SA2,NA,severe shark bite to front foreflip,NA,0,MLR,NA,NA,0,Comment Includes 'Shark',0,0
68429,4716,1979,1/24/79,BM,2,NA,NA,NA,NA,M,SA1-2,NA,shark attack - dead 1982-03-02,NA,1,unknown,2/27/06,NA,0,Comment Includes 'Shark',0,0
73280,8799,1986,2/20/86,1,4,NA,NA,NA,NA,M,SA2,NA,shark scar over right pectoral flipper,NA,0,WC,NA,NA,0,Comment Includes 'Shark',0,0
74320,9566,1986,3/14/86,BMN,2,NA,NA,NA,NA,M,ad,NA,"bad shark wound  Dec. 27 1985, left flank, many pictures taken",NA,0,CD,NA,NA,0,Comment Includes 'Shark',0,0
74391,9615,1986,4/24/86,MBB,2,NA,NA,NA,NA,F,W,NA,"Brd. Dur.-3,3,3, med, Apr.'03 - has lost RRFlipper (to shark?), stump is healed over, but she's very skinny and not molted.",NA,0,PM,NA,NA,0,Comment Includes 'Shark',1,0
74627,9807,1990,3/3/90,17,4,NA,NA,NA,NA,F,W,NA,Dec '02- Quite a few cookie cutter shark wounds.,NA,0,MS,NA,NA,0,Comment Includes 'Shark',0,1
76207,10953,1989,2/13/89,BBN,2,NA,NA,NA,NA,F,W,NA,"Homing Study Fall '90, returned, 5 cookie cutter shark bites.",NA,0,MK,NA,NA,0,Comment Includes 'Shark',0,1
